timestamp,run_name,protocol,split,model,params,metrics
2026-05-05 16:31:56,lstm_pre_e64_h128_d0.1,protocol_a_main,test,lstm,"{""view"": ""pre"", ""embedding_dim"": 64, ""hidden_size"": 128, ""dropout"": 0.1}","{""accuracy"": 0.7830482115085536, ""precision"": 0.3582089552238806, ""recall"": 0.8727272727272727, ""f1"": 0.5079365079365079, ""roc_auc"": 0.85127456545833, ""pr_auc"": 0.4107222036587619, ""fpr"": 0.2301516503122212, ""fnr"": 0.1272727272727272, ""tp"": 144.0, ""tn"": 863.0, ""fp"": 258.0, ""fn"": 21.0}"
2026-05-05 16:31:56,lstm_post_e64_h256_d0.3,protocol_a_main,test,lstm,"{""view"": ""post"", ""embedding_dim"": 64, ""hidden_size"": 256, ""dropout"": 0.3}","{""accuracy"": 0.7682737169517885, ""precision"": 0.3449883449883449, ""recall"": 0.896969696969697, ""f1"": 0.4983164983164983, ""roc_auc"": 0.8623739626415808, ""pr_auc"": 0.4479034215054622, ""fpr"": 0.2506690454950936, ""fnr"": 0.103030303030303, ""tp"": 148.0, ""tn"": 840.0, ""fp"": 281.0, ""fn"": 17.0}"
2026-05-05 16:31:56,lstm_pre_e64_h128_d0.3,protocol_a_main,test,lstm,"{""view"": ""pre"", ""embedding_dim"": 64, ""hidden_size"": 128, ""dropout"": 0.3}","{""accuracy"": 0.7620528771384136, ""precision"": 0.3284671532846715, ""recall"": 0.8181818181818182, ""f1"": 0.46875, ""roc_auc"": 0.8310274916876166, ""pr_auc"": 0.3932651401676637, ""fpr"": 0.2462087421944692, ""fnr"": 0.1818181818181818, ""tp"": 135.0, ""tn"": 845.0, ""fp"": 276.0, ""fn"": 30.0}"
2026-05-05 16:31:56,lstm_post_e128_h128_d0.1,protocol_a_main,val,lstm,"{""view"": ""post"", ""embedding_dim"": 128, ""hidden_size"": 128, ""dropout"": 0.1}","{""accuracy"": 0.934115212142118, ""precision"": 0.265625, ""recall"": 0.9577464788732394, ""f1"": 0.4159021406727828, ""roc_auc"": 0.9677246648206068, ""pr_auc"": 0.3277548518758348, ""fpr"": 0.0664780763790664, ""fnr"": 0.0422535211267605, ""tp"": 68.0, ""tn"": 2640.0, ""fp"": 188.0, ""fn"": 3.0}"
2026-05-05 16:31:56,lstm_post_e128_h256_d0.3,protocol_a_main,val,lstm,"{""view"": ""post"", ""embedding_dim"": 128, ""hidden_size"": 256, ""dropout"": 0.3}","{""accuracy"": 0.92997585374267, ""precision"": 0.2480916030534351, ""recall"": 0.9154929577464788, ""f1"": 0.3903903903903903, ""roc_auc"": 0.9579456939657748, ""pr_auc"": 0.2237983848446467, ""fpr"": 0.0696605374823196, ""fnr"": 0.0845070422535211, ""tp"": 65.0, ""tn"": 2631.0, ""fp"": 197.0, ""fn"": 6.0}"
2026-05-05 16:31:56,lstm_post_e64_h128_d0.3,protocol_a_main,val,lstm,"{""view"": ""post"", ""embedding_dim"": 64, ""hidden_size"": 128, ""dropout"": 0.3}","{""accuracy"": 0.9223870300103484, ""precision"": 0.2344827586206896, ""recall"": 0.9577464788732394, ""f1"": 0.3767313019390582, ""roc_auc"": 0.9551392513496824, ""pr_auc"": 0.23585299894136, ""fpr"": 0.0785007072135785, ""fnr"": 0.0422535211267605, ""tp"": 68.0, ""tn"": 2606.0, ""fp"": 222.0, ""fn"": 3.0}"
2026-05-05 16:31:56,lstm_post_e128_h256_d0.1,protocol_a_main,val,lstm,"{""view"": ""post"", ""embedding_dim"": 128, ""hidden_size"": 256, ""dropout"": 0.1}","{""accuracy"": 0.9216971369437738, ""precision"": 0.2310344827586206, ""recall"": 0.943661971830986, ""f1"": 0.371191135734072, ""roc_auc"": 0.9614917226129052, ""pr_auc"": 0.297705263585279, ""fpr"": 0.0788543140028288, ""fnr"": 0.056338028169014, ""tp"": 67.0, ""tn"": 2605.0, ""fp"": 223.0, ""fn"": 4.0}"
2026-05-05 16:31:56,lstm_post_e128_h128_d0.5,protocol_a_main,val,lstm,"{""view"": ""post"", ""embedding_dim"": 128, ""hidden_size"": 128, ""dropout"": 0.5}","{""accuracy"": 0.9220420834770612, ""precision"": 0.229965156794425, ""recall"": 0.9295774647887324, ""f1"": 0.3687150837988827, ""roc_auc"": 0.9612999780863398, ""pr_auc"": 0.3079840747151803, ""fpr"": 0.0781471004243281, ""fnr"": 0.0704225352112676, ""tp"": 66.0, ""tn"": 2607.0, ""fp"": 221.0, ""fn"": 5.0}"
2026-05-05 16:31:56,lstm_post_e64_h128_d0.1,protocol_a_main,val,lstm,"{""view"": ""post"", ""embedding_dim"": 64, ""hidden_size"": 128, ""dropout"": 0.1}","{""accuracy"": 0.9241117626767852, ""precision"": 0.2290909090909091, ""recall"": 0.8873239436619719, ""f1"": 0.3641618497109826, ""roc_auc"": 0.95587883738072, ""pr_auc"": 0.2510032340261355, ""fpr"": 0.0749646393210749, ""fnr"": 0.1126760563380281, ""tp"": 63.0, ""tn"": 2616.0, ""fp"": 212.0, ""fn"": 8.0}"
2026-05-05 16:31:56,lstm_post_e128_h256_d0.5,protocol_a_main,val,lstm,"{""view"": ""post"", ""embedding_dim"": 128, ""hidden_size"": 256, ""dropout"": 0.5}","{""accuracy"": 0.9241117626767852, ""precision"": 0.2271062271062271, ""recall"": 0.8732394366197183, ""f1"": 0.3604651162790697, ""roc_auc"": 0.9516106540231488, ""pr_auc"": 0.2229436722178908, ""fpr"": 0.0746110325318246, ""fnr"": 0.1267605633802817, ""tp"": 62.0, ""tn"": 2617.0, ""fp"": 211.0, ""fn"": 9.0}"
2026-05-05 16:31:56,lstm_post_e64_h256_d0.1,protocol_a_main,val,lstm,"{""view"": ""post"", ""embedding_dim"": 64, ""hidden_size"": 256, ""dropout"": 0.1}","{""accuracy"": 0.9172128320110384, ""precision"": 0.2192691029900332, ""recall"": 0.9295774647887324, ""f1"": 0.3548387096774194, ""roc_auc"": 0.9549201147478932, ""pr_auc"": 0.2905836123538447, ""fpr"": 0.0830975954738331, ""fnr"": 0.0704225352112676, ""tp"": 66.0, ""tn"": 2593.0, ""fp"": 235.0, ""fn"": 5.0}"
2026-05-05 16:31:56,lstm_post_e64_h256_d0.5,protocol_a_main,val,lstm,"{""view"": ""post"", ""embedding_dim"": 64, ""hidden_size"": 256, ""dropout"": 0.5}","{""accuracy"": 0.9196274577440496, ""precision"": 0.2206896551724138, ""recall"": 0.9014084507042254, ""f1"": 0.3545706371191136, ""roc_auc"": 0.953132159292388, ""pr_auc"": 0.2267943759513346, ""fpr"": 0.0799151343705799, ""fnr"": 0.0985915492957746, ""tp"": 64.0, ""tn"": 2602.0, ""fp"": 226.0, ""fn"": 7.0}"
2026-05-05 16:31:56,lstm_post_e64_h128_d0.5,protocol_a_main,val,lstm,"{""view"": ""post"", ""embedding_dim"": 64, ""hidden_size"": 128, ""dropout"": 0.5}","{""accuracy"": 0.9072093825457054, ""precision"": 0.2071005917159763, ""recall"": 0.9859154929577464, ""f1"": 0.3422982885085575, ""roc_auc"": 0.9570467358607088, ""pr_auc"": 0.2913486852097083, ""fpr"": 0.0947666195190947, ""fnr"": 0.0140845070422535, ""tp"": 70.0, ""tn"": 2560.0, ""fp"": 268.0, ""fn"": 1.0}"
2026-05-05 16:31:56,lstm_post_e128_h128_d0.3,protocol_a_main,val,lstm,"{""view"": ""post"", ""embedding_dim"": 128, ""hidden_size"": 128, ""dropout"": 0.3}","{""accuracy"": 0.9106588478785788, ""precision"": 0.2080745341614907, ""recall"": 0.943661971830986, ""f1"": 0.3409669211195928, ""roc_auc"": 0.9573156762356316, ""pr_auc"": 0.3508214750184966, ""fpr"": 0.0901697312588401, ""fnr"": 0.056338028169014, ""tp"": 67.0, ""tn"": 2573.0, ""fp"": 255.0, ""fn"": 4.0}"
2026-05-05 16:31:56,lstm_pre_e64_h128_d0.1,protocol_a_main,val,lstm,"{""view"": ""pre"", ""embedding_dim"": 64, ""hidden_size"": 128, ""dropout"": 0.1}","{""accuracy"": 0.903759917212832, ""precision"": 0.195906432748538, ""recall"": 0.943661971830986, ""f1"": 0.324455205811138, ""roc_auc"": 0.9544519592804352, ""pr_auc"": 0.28286050105202, ""fpr"": 0.0972418670438472, ""fnr"": 0.056338028169014, ""tp"": 67.0, ""tn"": 2553.0, ""fp"": 275.0, ""fn"": 4.0}"
2026-05-05 16:31:56,lstm_pre_e64_h128_d0.3,protocol_a_main,val,lstm,"{""view"": ""pre"", ""embedding_dim"": 64, ""hidden_size"": 128, ""dropout"": 0.3}","{""accuracy"": 0.8982407726802346, ""precision"": 0.1836158192090395, ""recall"": 0.9154929577464788, ""f1"": 0.3058823529411765, ""roc_auc"": 0.935616172281212, ""pr_auc"": 0.2385780675750482, ""fpr"": 0.1021923620933522, ""fnr"": 0.0845070422535211, ""tp"": 65.0, ""tn"": 2539.0, ""fp"": 289.0, ""fn"": 6.0}"
2026-05-05 16:31:56,lstm_post_e64_h256_d0.3,protocol_a_main,val,lstm,"{""view"": ""post"", ""embedding_dim"": 64, ""hidden_size"": 256, ""dropout"": 0.3}","{""accuracy"": 0.8861676440151777, ""precision"": 0.1738035264483627, ""recall"": 0.971830985915493, ""f1"": 0.2948717948717949, ""roc_auc"": 0.950313265733012, ""pr_auc"": 0.3101783787242274, ""fpr"": 0.1159830268741159, ""fnr"": 0.028169014084507, ""tp"": 69.0, ""tn"": 2500.0, ""fp"": 328.0, ""fn"": 2.0}"
