condition,accuracy,precision,recall,f1,fpr,fnr,tp,tn,fp,fn,roc_auc,pr_auc,delta_f1_vs_clean,delta_auc_vs_clean
clean,0.812597200622084,0.3994708994708995,0.9151515151515152,0.5561694290976059,0.2024977698483497,0.08484848484848485,151.0,894.0,227.0,14.0,0.8898223988322115,0.4548666338602435,0.0,0.0
delete_local_10pct,0.8087091757387247,0.39425587467362927,0.9151515151515152,0.551094890510949,0.20695807314897413,0.08484848484848485,151.0,889.0,232.0,14.0,0.8872083907766334,0.45008796741427504,-0.0050745385866569626,-0.0026140080555780987
substitute_5pct,0.8102643856920684,0.3941018766756032,0.8909090909090909,0.5464684014869888,0.2016057091882248,0.10909090909090909,147.0,895.0,226.0,18.0,0.8854161598140188,0.4442105780557456,-0.009701027610617086,-0.004406239018192704
