run_name,model,algorithm,feature_set,view,embedding_dim,hidden_size,dropout,num_layers,bidirectional,use_attention,pos_weight,decision_threshold,split,accuracy,precision,recall,f1,fpr,fnr,tp,tn,fp,fn,roc_auc,pr_auc
lstm_post_e128_h128_d0.1,lstm_post_e128_h128_d0.1,lstm,sequence_post,post,128,128,0.1,2,True,True,2.462745098039216,0.95,test,0.838258164852255,0.43425076452599387,0.8606060606060606,0.5772357723577236,0.16503122212310437,0.1393939393939394,142.0,936.0,185.0,23.0,0.8898223988322115,0.4548666338602435
lstm_post_e64_h128_d0.3,lstm_post_e64_h128_d0.3,lstm,sequence_post,post,64,128,0.3,2,True,True,2.462745098039216,0.9249999999999999,test,0.8219284603421462,0.4069767441860465,0.8484848484848485,0.550098231827112,0.18198037466547726,0.15151515151515152,140.0,917.0,204.0,25.0,0.8580542264752791,0.3669115777161901
lstm_post_e128_h128_d0.3,lstm_post_e128_h128_d0.3,lstm,sequence_post,post,128,128,0.3,2,True,True,2.462745098039216,0.95,test,0.8118195956454122,0.39452054794520547,0.8727272727272727,0.5433962264150943,0.19714540588760035,0.12727272727272726,144.0,900.0,221.0,21.0,0.8670370070013246,0.47691316313617044
lstm_post_e128_h128_d0.5,lstm_post_e128_h128_d0.5,lstm,sequence_post,post,128,128,0.5,2,True,True,2.462745098039216,0.95,test,0.8234836702954899,0.4054878048780488,0.806060606060606,0.539553752535497,0.17395182872435325,0.19393939393939394,133.0,926.0,195.0,32.0,0.8657719027924201,0.43725062110610285
lstm_post_e128_h256_d0.1,lstm_post_e128_h256_d0.1,lstm,sequence_post,post,128,256,0.1,2,True,True,2.462745098039216,0.95,test,0.812597200622084,0.3914285714285714,0.8303030303030303,0.5320388349514563,0.19000892060660124,0.1696969696969697,137.0,908.0,213.0,28.0,0.8860622279890791,0.44967166758796573
lstm_post_e128_h256_d0.3,lstm_post_e128_h256_d0.3,lstm,sequence_post,post,128,256,0.3,2,True,True,2.462745098039216,0.95,test,0.8265940902021773,0.40460526315789475,0.7454545454545455,0.5245202558635395,0.16146297948260482,0.2545454545454545,123.0,940.0,181.0,42.0,0.8426134674127538,0.3396979519640594
lstm_post_e64_h128_d0.1,lstm_post_e64_h128_d0.1,lstm,sequence_post,post,64,128,0.1,2,True,True,2.462745098039216,0.95,test,0.8141524105754276,0.3885542168674699,0.7818181818181819,0.5191146881287726,0.18108831400535236,0.21818181818181817,129.0,918.0,203.0,36.0,0.8631524883085989,0.3913265258439729
lstm_post_e64_h256_d0.5,lstm_post_e64_h256_d0.5,lstm,sequence_post,post,64,256,0.5,2,True,True,2.462745098039216,0.95,test,0.812597200622084,0.3869047619047619,0.7878787878787878,0.5189620758483033,0.18376449598572703,0.21212121212121213,130.0,915.0,206.0,35.0,0.8510583083286027,0.36446450259507807
lstm_post_e128_h256_d0.5,lstm_post_e128_h256_d0.5,lstm,sequence_post,post,128,256,0.5,2,True,True,2.462745098039216,0.95,test,0.8180404354587869,0.3925233644859813,0.7636363636363637,0.5185185185185185,0.17395182872435325,0.23636363636363636,126.0,926.0,195.0,39.0,0.845978968994134,0.34119140357703026
lstm_post_e64_h128_d0.5,lstm_post_e64_h128_d0.5,lstm,sequence_post,post,64,128,0.5,2,True,True,2.462745098039216,0.9,test,0.7908242612752722,0.3673469387755102,0.8727272727272727,0.5170556552962298,0.22123104371097235,0.12727272727272726,144.0,873.0,248.0,21.0,0.8629227151082637,0.42206690907641803
