model,prevalence_attack,prevalence_normal,recall_attack,precision_attack,specificity_normal
rf_tfidf,0.12830482115085537,0.8716951788491446,0.9272727272727272,0.3963730569948187,0.792149866190901
lstm_post_e128_h128_d0.1,0.12830482115085537,0.8716951788491446,0.8606060606060606,0.43425076452599387,0.8349687778768956
